,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
229,ASM,estimate_price_high,29325,39458,20452,17781,15174,13356,21360,154136,45598,25440,18523,8439,6099,8917,12195,7012,8568,6930,9451,13253,14226,30315,24702,30593,27615,17025
230,BMP,estimate_price_low,115346,159704,136225,116722,123301,72862,90070,61259,58839,48376,42641,41493,38670,40602,39034,40192,43650,47382,48097,43673,32511,22911,43982,58238,86325,105457
231,BMP,estimate_price_high,173018,239556,204336,175082,184951,109293,135105,91888,88258,72564,63962,62240,58005,60903,58552,60288,65475,71073,72145,65509,48766,34367,65973,87357,129488,158187
232,DVN,estimate_price_low,0,0,0,13120,13458,16821,14768,16684,16664,13260,11611,14170,11413,10596,10647,7840,11256,9361,14468,14391,15211,17316,15396,16903,8676,11478
233,DVN,estimate_price_high,0,0,0,19680,20187,25233,22153,25027,24996,19890,17416,21255,17120,15894,15970,11760,16885,14042,21702,21587,22816,25973,23093,25355,13014,17217
234,OGC,estimate_price_low,1077,508,1095,771,887,1176,1446,1543,1739,1971,2389,1281,2909,1505,12351,15574,3109,5222,4026,2435,5224,3841,8514,5516,4528,9680
235,OGC,estimate_price_high,1616,762,1643,1157,1331,1763,2169,2315,2609,2957,3584,1921,4363,2258,18527,23361,4664,7834,6039,3651,7837,5761,12772,8274,6793,14520
236,SAM,estimate_price_low,18129,5153,3209,12397,3598,12896,24479,9042,5597,5630,5507,3926,5411,7178,7170,6067,8070,14374,9944,10671,8863,11616,21075,13829,13804,6864
237,SAM,estimate_price_high,27193,7730,4813,18596,5397,19345,36718,13563,8396,8445,8261,5889,8116,10767,10755,9101,12105,21560,14915,16006,13294,17424,31612,20744,20707,10297
238,IJC,estimate_price_low,5090,11041,6025,5893,14369,7027,8199,9897,7300,9581,7294,8618,10683,10575,10813,12977,7730,10180,22236,34722,33311,24107,20045,17393,19553,19602
239,IJC,estimate_price_high,7636,16561,9038,8841,21553,10541,12298,14845,10949,14372,10941,12927,16024,15863,16219,19466,11596,15270,33354,52083,49966,36161,30068,26089,29329,29403
240,AAA,estimate_price_low,34193,28423,31747,36134,28634,32340,33466,31018,26442,17415,15100,37753,23149,17288,12738,7231,8689,11119,11691,14313,14398,13422,13804,14303,12002,12025
241,AAA,estimate_price_high,51290,42635,47620,54201,42950,48510,50200,46527,39664,26124,22650,56630,34723,25933,19107,10847,13034,16679,17536,21470,21597,20133,20707,21454,18001,18038
242,MSH,estimate_price_low,0,0,0,0,0,0,0,0,41790,41250,47129,52294,54918,49583,43175,33926,25971,20621,26672,42413,61877,75846,73343,64385,55866,40243
243,MSH,estimate_price_high,0,0,0,0,0,0,0,0,62685,61875,70693,78441,82377,74374,64763,50889,38958,30932,40008,63621,92816,113769,110014,96578,83799,60365
244,VPG,estimate_price_low,0,0,0,0,11040,14928,15574,18600,16625,18463,15871,18153,12390,18800,23274,15340,14283,17653,53112,142476,80627,63988,56733,46601,35639,20505
245,VPG,estimate_price_high,0,0,0,0,16560,22392,23360,27900,24938,27694,23807,27229,18585,28201,34911,23009,21425,26479,79668,213714,120940,95983,85100,69902,53458,30757
246,PET,estimate_price_low,9172,9790,7821,9276,8086,8272,8420,7492,7051,7336,3239,5616,6031,6119,40672,6241,6420,9255,8860,15858,21172,22128,26907,30218,24142,25549
247,PET,estimate_price_high,13758,14686,11732,13914,12129,12408,12631,11237,10577,11004,4858,8424,9046,9179,61009,9362,9631,13882,13290,23787,31758,33192,40360,45327,36213,38323
248,CTD,estimate_price_low,220960,245623,237571,191824,187803,194173,187172,161346,149267,134466,112243,103798,74083,58490,54662,50919,59068,48153,39995,40728,33889,31770,21517,20901,54025,46614
249,CTD,estimate_price_high,331440,368434,356356,287736,281705,291259,280757,242019,223901,201699,168363,155696,111125,87734,81992,76378,88601,72230,59993,61092,50833,47656,32275,31351,81037,69921
250,FMC,estimate_price_low,18820,16796,18764,16160,17502,22742,17873,23316,21552,23391,30720,26657,29389,30046,26299,23317,23278,24025,28625,28737,36190,35876,52593,48056,58301,46054
251,FMC,estimate_price_high,28229,25194,28147,24240,26253,34113,26810,34974,32327,35086,46080,39986,44083,45069,39449,34975,34918,36038,42938,43106,54285,53814,78890,72085,87452,69082
252,VIX,estimate_price_low,6015,5260,3842,4664,6847,6765,8703,13193,8092,15022,8191,8078,6246,4618,4933,3388,9905,15880,23018,44558,22383,31841,28802,39939,25229,17533
